Egitim_duzeyi;Yil;Ogrenci_Basina_Dusen_Harcama_TL
Okul_oncesi;2011;3984
Okul_oncesi;2012;4795
Okul_oncesi;2013;5122
Okul_oncesi;2014;6455
Okul_oncesi;2015;6950
Okul_oncesi;2016;8638
Okul_oncesi;2017;9807
Okul_oncesi;2018;13329
Okul_oncesi;2019;15494
Okul_oncesi;2020;13993
Okul_oncesi;2021;17660
Okul_oncesi;2022;37759
Okul_oncesi;2023;78247
Ilkokul;2011;16708
Ilkokul;2012;18868
Ilkokul;2013;20066
Ilkokul;2014;23340
Ilkokul;2015;25406
Ilkokul;2016;28488
Ilkokul;2017;30601
Ilkokul;2018;35754
Ilkokul;2019;44881
Ilkokul;2020;46826
Ilkokul;2021;62905
Ilkokul;2022;103630
Ilkokul;2023;216569
Ortaokul;2011;12343
Ortaokul;2012;16313
Ortaokul;2013;19137
Ortaokul;2014;22216
Ortaokul;2015;23930
Ortaokul;2016;29888
Ortaokul;2017;32500
Ortaokul;2018;40034
Ortaokul;2019;49280
Ortaokul;2020;48498
Ortaokul;2021;65989
Ortaokul;2022;108431
Ortaokul;2023;219392
Ortaogretim;2011;17341
Ortaogretim;2012;21293
Ortaogretim;2013;25670
Ortaogretim;2014;29318
Ortaogretim;2015;33268
Ortaogretim;2016;40216
Ortaogretim;2017;47082
Ortaogretim;2018;58825
Ortaogretim;2019;67777
Ortaogretim;2020;70615
Ortaogretim;2021;84939
Ortaogretim;2022;136383
Ortaogretim;2023;261948
Yuksekogretim;2011;22731
Yuksekogretim;2012;27619
Yuksekogretim;2013;30656
Yuksekogretim;2014;35258
Yuksekogretim;2015;40338
Yuksekogretim;2016;47766
Yuksekogretim;2017;54501
Yuksekogretim;2018;69914
Yuksekogretim;2019;74491
Yuksekogretim;2020;87663
Yuksekogretim;2021;115573
Yuksekogretim;2022;201235
Yuksekogretim;2023;354687
