Ogretim_yili;Yuksekogretim_ogrenci                                                                           ;Yuksekogretim_Mezun                                                                   
2004-2005;1969086;316128
2005-2006;2181217;340599
2006-2007;2291762;378818
2007-2008;2372136;409023
2008-2009;2757828;447132
2009-2010;3322559;520614
2010-2011;3626642;496794
2011-2012;4112687;573434
2012-2013;4676566;648535
2013-2014;5139469;686879
2014-2015;5642562;752593
2015-2016;6186007;753480
2016-2017;6627505;749707
2017-2018;7010598;771460
2018-2019;7250129;797138
2019-2020;7541890;1044321
2020-2021;7791280;1087866
2021-2022;7829148;812313
2022-2023;6401149;847331
